Sample_Index,NCC_Value
1405,0.02247057
1406,0.03749669
1407,0.05098024
1408,0.06277678
1409,0.07025909
1410,0.07291411
1411,0.06993742
1412,0.06197173
1413,0.05148202
1414,0.03878422
1415,0.02658436
1416,0.01516407
1417,0.00558526
1418,-0.00119822
1419,-0.00677432
1420,-0.01005550
1421,-0.01294788
1422,-0.01552061
1423,-0.01793322
1424,-0.02146422
1425,-0.02365938
1426,-0.02625555
1427,-0.02713062
1428,-0.02584958
1429,-0.02406959
1430,-0.01988067
1431,-0.01500994
1432,-0.00804529
1433,-0.00102829
1434,0.00558340
1435,0.01209007
1436,0.01867723
1437,0.02468728
1438,0.03103101
1439,0.03732443
1440,0.04398415
1441,0.05060564
1442,0.05592240
1443,0.05960144
1444,0.06097029
1445,0.06059768
1446,0.05751665
1447,0.05224536
1448,0.04594065
1449,0.03900040
1450,0.03194362
1451,0.02511250
1452,0.01842293
1453,0.01193953
1454,0.00553432
1455,-0.00156595
1456,-0.00927794
1457,-0.01741047
1458,-0.02570420
1459,-0.03336972
1460,-0.03913625
1461,-0.04276114
1462,-0.04309131
1463,-0.03963798
1464,-0.03202876
1465,-0.02249784
1466,-0.01064559
1467,0.00065558
1468,0.01136830
1469,0.02026956
1470,0.02639262
1471,0.03018413
1472,0.03154419
1473,0.03236979
1474,0.03209121
1475,0.03252910
1476,0.03368889
1477,0.03543516
1478,0.03820845
1479,0.03947054
1480,0.04040617
1481,0.03925485
1482,0.03678008
1483,0.03332035
1484,0.02869216
1485,0.02473227
1486,0.02056666
1487,0.01890320
1488,0.01704890
1489,0.01690679
1490,0.01548679
1491,0.01250904
1492,0.00703519
1493,-0.00188523
1494,-0.01349698
1495,-0.02727516
1496,-0.04238178
1497,-0.05588042
1498,-0.06616651
1499,-0.07263413
1500,-0.07305319
1501,-0.06943615
1502,-0.06141436
1503,-0.05153418
1504,-0.04110671
1505,-0.03290455
1506,-0.02704433
1507,-0.02475834
1508,-0.02580735
1509,-0.02973562
1510,-0.03589484
1511,-0.04211738
1512,-0.04700397
1513,-0.04865104
1514,-0.04816963
1515,-0.04490537
1516,-0.04230405
1517,-0.03855887
1518,-0.03225302
1519,-0.02789729
1520,-0.02343125
1521,-0.02072269
1522,-0.01913725
1523,-0.01986938
1524,-0.02156666
1525,-0.02308442
1526,-0.02484956
1527,-0.02530864
1528,-0.02612613
1529,-0.02595027
1530,-0.02499493
1531,-0.02473023
1532,-0.02416163
1533,-0.02496068
1534,-0.02567188
1535,-0.02825982
1536,-0.03032453
1537,-0.03259349
1538,-0.03485449
1539,-0.03603633
1540,-0.03650502
1541,-0.03563291
1542,-0.03441607
1543,-0.03219791
1544,-0.02865177
1545,-0.02388534
1546,-0.01924374
1547,-0.01538766
1548,-0.01176522
1549,-0.00891030
1550,-0.00730515
1551,-0.00784288
1552,-0.01112640
1553,-0.01569120
1554,-0.02139156
1555,-0.02672146
1556,-0.03157548
1557,-0.03542591
1558,-0.03668218
1559,-0.03559790
1560,-0.03241204
1561,-0.02641254
1562,-0.02030964
1563,-0.01381240
1564,-0.00787206
1565,-0.00469797
1566,-0.00388761
1567,-0.00573976
1568,-0.01047211
1569,-0.01591670
1570,-0.02185249
