goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.681263,0.504998,1.69445,0.564566,1.70863,0.691542,0,1
0.525132,0.348217,1.37965,0.436862,1.42336,0.448094,0,1
0.378157,0.11625,0.259835,0.138012,0.688998,0.161105,0,1
0.990219,0.435101,0.590012,0.469587,1.37002,0.490311,0,1
1.62509,0.655155,-1.18812,-0.17695,2.09939,0.344964,1,0.67
0.786042,0.830265,-0.930408,-0.0910282,1.43678,0.796977,1,0.67
0.163154,0.837468,-0.507383,-0.182579,0.536097,0.958375,1,1
0.246077,0.597207,-0.130397,-0.0481696,0.254057,0.689735,1,1
0.44115,0.593499,1.08025,0.233488,1.1189,0.760506,0,0.67
1.15489,0.295521,1.10483,-0.0257062,1.36178,0.440405,0,1
1.66775,0.332785,2.74817,0.53792,2.85586,0.704708,0,1
0.902814,0.400849,2.16249,0.575772,2.1659,0.575806,0,1
0.69996,0.36863,1.37264,0.679852,1.70377,0.685412,0,1
0.638187,0.311007,1.04363,0.43543,1.40987,0.448756,0,1
0.487905,0.119025,-0.126137,0.12825,0.727097,0.130586,1,0.67
0.761604,0.352736,-0.246639,0.244725,1.25283,0.392647,1,0.67
1.32487,0.449327,-1.8379,-0.265038,2.10453,0.349683,1,0.67
0.593231,0.706269,-1.28454,-0.425121,1.3878,0.794333,1,0.67
0.258987,0.840464,-0.303216,-0.579559,0.49012,0.938031,0,0.67
0.27443,0.590546,0.0083403,-0.354904,0.2286,0.68806,0,0.67
0.419703,0.697632,1.03424,-0.166872,1.05773,0.73312,0,0.67
0.984508,0.485487,1.53226,-0.127822,1.53343,0.422413,0,1
1.36773,0.545693,2.69457,0.203926,2.75958,0.665775,0,1
0.84204,0.448141,1.96494,0.517167,2.16744,0.578451,0,1
0.935543,0.34274,0.639014,0.594567,1.66997,0.648021,0,1
0.75258,0.405972,0.3597,0.274912,1.37296,0.412669,0,1
0.463707,0.121261,-0.460291,0.103218,0.768676,0.15841,1,0.67
0.573602,0.235883,-0.947046,-0.0111398,1.30573,0.370109,1,0.67
1.046,0.263945,-1.98877,-0.286023,1.98901,0.296516,1,0.67
0.479533,0.536242,-1.35319,-0.695628,1.36179,0.791545,1,0.67
0.387454,0.690551,-0.0913928,-0.87425,0.483239,0.943544,0,0.67
0.266131,0.466012,0.212397,-0.553258,0.274904,0.643321,0,0.67
0.439105,0.732562,0.836142,-0.474728,1.07545,0.691668,0,0.67
1.20175,0.745847,1.56568,-0.218226,1.7085,0.33303,0,1
1.45243,0.887504,1.92221,-0.217527,2.65462,0.692594,0,1
1.01805,0.678916,1.18405,0.264808,2.10122,0.541959,0,1
1.10217,0.490103,-0.153089,0.392,1.67343,0.657574,1,0.67
0.869145,0.578483,-0.324406,0.0874209,1.35906,0.423003,1,0.67
0.525878,0.197619,-0.689766,0.0327749,0.772727,0.186901,1,0.67
0.565046,0.163053,-1.49589,-0.314018,1.53132,0.475861,1,0.67
0.981738,0.293955,-1.66132,-0.240672,1.91583,0.252286,1,0.67
0.513055,0.396926,-1.0493,-0.765875,1.32709,0.766057,1,0.67
0.408791,0.503458,0.219509,-0.896123,0.524505,0.906218,0,0.67
0.227282,0.334766,0.288207,-0.639303,0.302916,0.639383,0,0.67
0.483708,0.594785,0.305596,-0.721813,0.988052,0.744624,0,0.67
1.41392,0.747793,1.14711,-0.263116,1.70953,0.267996,0,1
1.74673,0.985506,0.739698,-0.536437,2.67328,0.732958,0,1
1.23257,0.859503,0.17327,-0.00867996,2.11423,0.555305,0,1
1.12071,0.636549,-0.997044,0.0593913,1.68431,0.667691,1,0.67
0.7791,0.596803,-1.04192,-0.174418,1.45401,0.459923,1,0.67
0.382512,0.165879,-0.728987,-0.0318444,0.728987,0.208229,1,0.67
0.783802,0.256999,-1.56621,-0.484175,1.59586,0.536743,1,0.67
1.2209,0.484917,-0.876777,-0.112014,1.90905,0.248982,1,0.67
0.635684,0.509998,-0.533448,-0.661721,1.35544,0.770482,0,1
0.396459,0.478041,0.387933,-0.727407,0.497549,0.926182,0,0.67
0.170748,0.333086,0.320627,-0.542595,0.323405,0.640052,0,0.67
0.506259,0.384953,-0.188604,-0.710285,0.991042,0.739355,0,1
1.59737,0.638914,0.479458,-0.21987,1.57618,0.286568,0,1
2.04142,0.891171,-0.739274,-0.76121,2.76636,0.791088,0,1
1.25114,0.82779,-0.953714,-0.313479,2.17012,0.585024,1,0.67
0.917322,0.626017,-1.55483,-0.27389,1.71615,0.685816,1,0.67
