Bit_Index,Corr_f0,Corr_f1,Decision
642,0.00676,-0.00443,0
643,0.00642,-0.00352,0
644,0.10362,0.05500,0
645,-0.07936,-0.04165,1
646,-0.10979,-0.04618,1
647,-0.02332,-0.00629,1
648,0.09478,0.06160,0
649,-0.02572,0.00837,1
650,0.02143,0.02442,1
651,-0.10021,-0.03062,1
652,0.07560,0.04690,0
653,0.07101,0.04243,0
654,0.02067,0.02580,1
655,-0.03910,-0.02042,1
656,-0.04803,-0.01806,1
657,0.01723,0.00462,0
658,0.06986,0.04266,0
659,0.00122,0.00912,1
660,-0.05711,-0.02511,1
661,-0.03130,-0.01497,1
662,0.13781,0.08176,0
663,-0.04672,0.01369,1
664,0.01879,0.00781,0
665,-0.17039,-0.06434,1
666,0.08844,0.03763,0
667,-0.01722,-0.00266,1
668,0.21393,0.09201,0
669,-0.43462,-0.27582,1
670,-0.22589,-1.74331,0
671,-0.47065,3.23058,1
672,-2.80733,3.15199,1
673,-8.48712,-7.67830,1
674,5.05506,1.98821,0
675,5.29056,2.97676,0
676,2.77335,-0.87907,0
677,-1.29769,-0.86210,1
678,-9.34652,-5.09139,1
679,-4.72383,-1.54260,1
680,0.12521,0.05229,0
681,1.88899,1.02150,0
682,3.97497,2.00332,0
683,3.52476,1.75692,0
684,-3.57425,-1.46671,1
685,-0.89276,-0.66011,1
686,-3.11788,-1.26041,1
687,3.80981,2.19077,0
688,2.09016,1.14553,0
689,-2.26813,-1.04258,1
690,-1.93164,-0.81252,1
691,-2.27555,-0.92678,1
692,1.86852,0.84920,0
693,1.80865,0.78928,0
694,-0.77941,-0.36869,1
695,-2.62316,-1.17641,1
696,-1.27462,-0.58699,1
697,0.60550,0.46786,0
698,1.91922,0.83202,0
699,0.69439,0.42472,0
700,0.80781,0.31974,0
701,-0.60716,-0.23449,1
702,-0.02187,0.11314,1
703,0.13845,0.08978,0
704,0.49350,0.29935,0
705,-0.03645,0.01786,1
706,-0.84935,-0.46258,1
707,-1.39403,-0.55583,1
708,-0.07308,0.05083,1
709,0.59696,0.31463,0
710,0.62687,0.28834,0
711,-0.25778,-0.08654,1
712,-0.33105,-0.17631,1
713,-0.29904,-0.09547,1
714,0.25150,0.10883,0
715,0.34365,0.14178,0
716,-0.31860,-0.21644,1
717,-0.53746,-0.31693,1
718,-0.28664,-0.19683,1
719,0.44052,0.26045,0
720,0.60321,0.30571,0
721,0.00431,0.05895,1
722,-0.76045,-0.27846,1
723,-0.32960,-0.17765,1
724,0.18354,0.05804,0
725,0.64869,0.32919,0
726,0.11944,0.04106,0
727,-0.07217,-0.03058,1
728,-0.08269,-0.05352,1
729,0.26287,0.08665,0
730,0.22978,0.12887,0
731,0.15917,0.07407,0
732,-0.38770,-0.18731,1
733,-0.26877,-0.15837,1
734,-0.23553,-0.13474,1
735,0.11675,0.03382,0
736,0.01063,-0.00349,0
737,0.08378,-0.02060,0
738,-0.22625,-0.04996,1
739,-0.01035,-0.04273,0
740,0.09654,0.03737,0
741,0.28316,0.09859,0
742,0.10339,0.05302,0
743,0.44066,0.18657,0
744,0.14585,0.09156,0
745,0.09704,0.04827,0
746,-0.22048,-0.08925,1
747,-0.16886,-0.09496,1
748,-0.33017,-0.13373,1
749,-0.15688,-0.06994,1
750,-0.31556,-0.15811,1
751,-0.29367,-0.15081,1
752,-0.00782,-0.03505,0
753,0.09176,0.07480,0
754,0.08028,0.05529,0
755,0.02369,0.02140,0
756,0.01380,0.03082,1
757,0.11305,0.04986,0
758,0.31720,0.16259,0
759,0.13805,0.07084,0
760,0.08098,0.04704,0
761,0.03097,0.00542,0
762,-0.15567,-0.07050,1
763,0.00260,-0.00739,0
764,-0.16334,-0.06760,1
765,-0.12356,-0.06187,1
766,-0.15424,-0.10933,1
767,0.13086,0.03298,0
768,-0.02377,0.00225,1
769,0.16614,0.06007,0
770,-0.09120,-0.04274,1
771,0.16874,0.07248,0
772,0.16265,0.04467,0
773,0.18081,0.06826,0
774,-0.12239,-0.06552,1
775,-0.03156,-0.03054,1
776,-0.02444,-0.02441,1
777,-0.00140,0.00591,1
778,-0.06155,-0.02424,1
779,-0.20072,-0.13735,1
780,-0.09774,-0.08237,1
781,0.03535,0.00603,0
782,0.19750,0.08822,0
783,-0.06160,-0.03251,1
784,-0.02332,-0.02615,0
785,-0.15196,-0.06687,1
786,0.13806,0.05592,0
787,-0.00803,-0.01011,0
788,0.07698,0.02841,0
789,-0.22511,-0.08590,1
790,0.05890,0.01759,0
791,-0.04483,-0.01057,1
792,0.15005,0.08304,0
793,-0.13040,-0.03062,1
794,-0.11473,-0.04136,1
795,-0.06058,-0.02052,1
796,0.18290,0.10146,0
797,0.06443,0.05961,0
798,-0.05638,-0.03045,1
799,0.05030,0.01384,0
800,0.03715,0.03481,0
801,0.19056,0.07393,0
802,-0.04145,-0.02197,1
803,-0.07121,-0.02882,1
804,-0.16690,-0.02530,1
805,0.12908,0.05376,0
806,-0.02311,0.00013,1
807,-0.01255,0.01834,1
808,-0.19783,-0.07017,1
809,-0.02148,-0.00015,1
810,0.07637,0.05199,0
811,0.16080,0.07708,0
812,-0.07235,-0.00020,1
813,-0.06808,0.00199,1
814,-0.00903,0.00621,1
815,0.08176,0.04202,0
816,-0.06244,-0.00968,1
817,-0.13520,-0.07881,1
818,-0.21775,-0.06832,1
819,0.10447,0.07011,0
820,-0.01833,0.01933,1
821,0.06410,0.03598,0
822,-0.21482,-0.09884,1
823,0.01563,-0.01026,0
824,0.02450,0.02215,0
825,0.23324,0.11518,0
826,-0.07442,0.00453,1
827,0.04418,0.01561,0
828,-0.01801,0.00515,1
829,0.18520,0.11171,0
830,-0.01653,0.00907,1
831,0.04124,0.03367,0
832,-0.22061,-0.06798,1
833,0.14484,0.07783,0
834,-0.09735,-0.00439,1
835,0.05948,0.03084,0
836,-0.20684,-0.08179,1
837,0.01201,0.01150,0
838,-0.06782,0.00923,1
839,0.37511,0.16940,0
840,-0.09307,-0.01607,1
841,0.01760,0.02559,1
842,-0.10203,-0.03964,1
843,0.26766,0.10764,0
844,-0.03631,-0.01016,1
845,0.14971,0.05857,0
846,-0.27899,-0.12892,1
847,0.05933,-0.00698,0
848,-0.14565,-0.07211,1
849,0.22973,0.09888,0
850,-0.24905,-0.10677,1
851,0.10322,0.02578,0
852,-0.12150,-0.06507,1
853,0.29523,0.10711,0
854,-0.27878,-0.10691,1
855,0.11055,0.03268,0
856,-0.31176,-0.13678,1
857,0.22880,0.10837,0
858,-0.06185,0.00295,1
859,0.17832,0.06601,0
860,-0.28209,-0.10343,1
861,0.18187,0.08193,0
862,-0.02694,0.01031,1
863,0.16260,0.07862,0
864,-0.14251,-0.06257,1
865,-0.01285,0.00695,1
866,-0.10145,-0.02817,1
867,0.11453,0.05181,0
868,0.05290,0.02392,0
869,-0.03149,-0.01277,1
870,-0.13621,-0.05720,1
871,0.04037,0.01964,0
872,0.06855,0.03204,0
873,0.02939,0.03096,1
874,-0.13561,-0.04820,1
875,0.66504,0.31516,0
876,2.67775,0.35400,0
877,-2.88799,3.13542,1
878,-5.58016,-2.68147,1
879,5.43851,1.67851,0
880,5.80477,2.39992,0
881,0.93770,0.83730,0
882,-2.21182,-2.09405,1
883,-7.28361,-3.46042,1
884,-3.26728,-0.81243,1
885,0.02912,-0.13324,0
886,2.00986,1.02525,0
887,2.50382,1.25539,0
888,3.23066,1.42905,0
889,-3.43651,-1.08878,1
890,-0.53295,-0.29883,1
891,-1.98268,-0.97659,1
892,3.22018,1.71078,0
893,1.40388,0.85638,0
8
